,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,optimizer_fn,dataset
395,0.33001913734726157,0.9727948782450107,0.46808510638297873,0.425414364640884,0.5202702702702703,13.675469875335693,Completed,AE,50000,minmax,none,43,0.256,sgd,creditcard
396,0.36119826000696775,0.8250467329240498,0.5302013422818791,0.5266666666666666,0.5337837837837838,23.98506259918213,Completed,PW-AE,50000,minmax,none,42,0.001,sgd,creditcard
397,0.4356520312700845,0.8017952057007661,0.5533333333333332,0.5460526315789473,0.5608108108108109,24.33752679824829,Completed,PW-AE,50000,minmax,none,43,0.001,sgd,creditcard
398,0.4192993058620403,0.8793359424979018,0.5540540540540541,0.5540540540540541,0.5540540540540541,24.658368349075317,Completed,PW-AE,50000,minmax,none,42,0.0020000000000000005,sgd,creditcard
399,0.4388174049025879,0.8733259908789477,0.5909090909090909,0.6724137931034483,0.527027027027027,24.6900417804718,Completed,PW-AE,50000,minmax,none,43,0.0020000000000000005,sgd,creditcard
400,0.4150887086175288,0.9314657873792914,0.5622775800711743,0.5939849624060151,0.5337837837837838,24.63554334640503,Completed,PW-AE,50000,minmax,none,42,0.004000000000000001,sgd,creditcard
401,0.4306739037831024,0.9304800317046567,0.596078431372549,0.7102803738317757,0.5135135135135135,25.079792976379395,Completed,PW-AE,50000,minmax,none,43,0.004000000000000001,sgd,creditcard
402,0.4000009784204439,0.9603637578041815,0.5572519083969466,0.6403508771929824,0.49324324324324326,24.771203756332397,Completed,PW-AE,50000,minmax,none,42,0.008000000000000004,sgd,creditcard
403,0.43527684998353927,0.9633738839939192,0.5843621399176954,0.7473684210526316,0.4797297297297297,25.25656294822693,Completed,PW-AE,50000,minmax,none,43,0.008000000000000004,sgd,creditcard
404,0.40266063313871003,0.9704190620452756,0.5409252669039146,0.5714285714285714,0.5135135135135135,25.06703233718872,Completed,PW-AE,50000,minmax,none,42,0.016,sgd,creditcard
405,0.45109888615851956,0.9715419804784323,0.5756457564575646,0.6341463414634146,0.527027027027027,25.034587860107422,Completed,PW-AE,50000,minmax,none,43,0.016,sgd,creditcard
